id	name	lat	lng	type	openDate	price	tags	description
231	종로 인왕산 수성동계곡	37.581	126.9634	valley	상시 개방	무료	#인왕산 #겸재정선 #계곡물놀이 #운치 #경복궁역	발만 담글 수 있는 아담한 규모지만 인왕산의 운치와 안평대군, 정선의 풍경화 속 배경을 느낄 수 있는 곳. (주소: 종로구 옥인동 185-3)
232	관악산 신림계곡 물놀이장	37.4645	126.9452	valley	상시 개방	무료	#관악산 #나무그늘 #어린이물놀이 #관악산역	낮은 수심이 길게 이어져 물놀이에 적합하며 구청에서 물놀이터를 운영하는 관악산 계곡. (주소: 관악구 신림동 808-126)
233	금천구 안양천 물놀이장	37.4764	126.8856	free	2026-07-01	무료	#안양천 #도심물놀이 #무료물놀이 #금천교	금천교 하부에 위치한 3,000㎡ 규모의 안양천 물놀이장. 어린이를 위한 안전하고 쾌적한 피서지! (주소: 금천구 가산동 707)
234	성동구 살곶이 물놀이장	37.5583	127.0428	free	2026-06-25	무료	#살곶이공원 #성동구물놀이 #무료수영장 #한양대역	살곶이 체육공원 내 위치한 무료 물놀이장. 물놀이대, 유아풀, 그늘막 및 워터드롭 시설 구비! (주소: 성동구 사근동 102-16)
235	서초구 양재천 야외수영장	37.4789	127.0412	cheap	2026-06-20	5,000원	#양재천 #유수풀 #야외수영장 #서초핫플	양재천 영동1교 인근에 위치한 최신 야외수영장. 성인풀, 유수풀, 아쿠아드롭, 썬베드 완비. (주소: 서초구 양재동 126-1)
236	서울식물원 호수원 물놀이터	37.5689	126.8345	free	2026-07-01	무료	#마곡 #서울식물원 #바닥분수 #식물원산책	서울식물원 호수원 수변가로에 조성된 어린이 물놀이터. 식물원 둘러보고 시원하게 놀기 좋은 곳. (주소: 강서구 마곡동로 161)
237	도봉산 도봉계곡	37.6908	127.0345	valley	상시 개방	무료	#도봉산 #자연계곡 #발담그기 #도봉산역	도봉산 입구에서 도보 접근성이 뛰어난 맑고 울창한 도봉산 자연 계곡. 등산 후 발 담그기 최고! (주소: 도봉구 도봉동 산29)
238	북한산 우이동 계곡	37.6625	127.0058	valley	상시 개방	무료	#북한산 #우이신설선 #백숙맛집 #울창한숲	우이신설선 경전철로 쉽게 갈 수 있는 시원한 북한산 물줄기 계곡. 계곡 주변 백숙과 쉼터 가득. (주소: 강북구 우이동 246)
239	북한산 정릉계곡	37.6167	126.9961	valley	상시 개방	무료	#정릉탐방지원센터 #청수골 #도심속계곡 #맑은물	정릉 탐방안내소 부근에 위치한 청정 계곡. 맑은 물소리와 함께 숲길 산책을 즐기기 좋은 피서지. (주소: 성북구 정릉동 산1-1)
240	구로구 안양천 물놀이장	37.5098	126.8745	free	2026-07-01	무료	#신도림 #오금교 #안양천 #수심다양	신도림역 오금교 하부에 위치한 구로구 안양천 어린이 물놀이장. 수심별 수조와 몽골텐트 그늘막 제공. (주소: 구로구 신도림동 285-34)
